OTU ID	FC4	FC8	FC2	FT4	FT3	FT7	FT2	FC5	FT5	FT1	FC7	FC6	FC3	FT6	FC1
denovo158	0.000124409056979	0.000414696856598	4.14696856598e-05	0.000622045284897	0.000622045284897	0.0	8.29393713196e-05	0.00161731774073	8.29393713196e-05	0.0	0.000704984656216	0.000124409056979	4.14696856598e-05	0.0	0.0
denovo159	0.00203201459733	0.0	0.000622045284897	4.14696856598e-05	0.0	4.14696856598e-05	0.0	0.0	8.29393713196e-05	0.0	0.0	4.14696856598e-05	0.0	0.0	4.14696856598e-05
denovo154	0.000456166542258	0.000124409056979	0.00124409056979	0.000456166542258	0.000248818113959	0.0	0.000746454341876	0.000248818113959	0.000456166542258	8.29393713196e-05	4.14696856598e-05	0.000207348428299	8.29393713196e-05	0.0	0.0
denovo155	0.0	0.000124409056979	0.000207348428299	8.29393713196e-05	0.0	0.0	0.000663514970557	0.000539105913577	0.000331757485278	8.29393713196e-05	0.0	0.000456166542258	8.29393713196e-05	0.0	0.0
denovo156	0.00140996931243	0.0	0.0046446047939	0.0	0.0	0.0	4.14696856598e-05	4.14696856598e-05	0.000746454341876	0.0	0.0	0.0	0.00223936302563	0.0	0.00120262088413
denovo157	0.0	0.000248818113959	0.000124409056979	0.00787924027536	0.000456166542258	0.0	0.000539105913577	0.00269552956789	0.000953802770175	8.29393713196e-05	0.000953802770175	0.00311022642448	0.0	4.14696856598e-05	4.14696856598e-05
denovo150	0.000787924027536	0.000248818113959	0.000870863398855	0.00132702994111	0.000165878742639	0.000165878742639	0.00124409056979	0.0	0.00128556025545	4.14696856598e-05	0.000207348428299	4.14696856598e-05	0.0	0.0	0.0
denovo151	0.0	0.000207348428299	0.000248818113959	0.0	0.0	0.0	0.00111968151281	0.000207348428299	0.000497636227917	0.0	4.14696856598e-05	0.000124409056979	8.29393713196e-05	0.0	0.0
denovo152	0.0	0.000787924027536	8.29393713196e-05	0.0	0.0	0.0	0.0	0.00124409056979	0.0	0.0	0.000331757485278	0.0	0.0	0.0	0.0
denovo153	0.00190760554035	0.0	0.000331757485278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo129	0.00170025711205	0.0	0.000207348428299	0.000290287799618	0.0	0.000165878742639	0.000165878742639	0.000165878742639	0.00103674214149	8.29393713196e-05	0.0	8.29393713196e-05	0.0	8.29393713196e-05	8.29393713196e-05
denovo128	0.00696690719084	0.0	0.000953802770175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo87	0.000248818113959	0.0	0.0116115119847	0.000746454341876	8.29393713196e-05	0.00120262088413	0.000829393713196	0.0	0.00252965082525	0.00211495396865	0.0	0.0	0.000414696856598	0.00248818113959	0.00593016504935
denovo86	0.00277846893921	0.0036078626524	0.00335904453844	0.000663514970557	0.00161731774073	0.000414696856598	0.00248818113959	0.00186613585469	0.00335904453844	0.00124409056979	0.000539105913577	0.00688396781952	0.00551546819275	0.000746454341876	0.00410549888032
denovo81	0.000207348428299	0.00182466616903	0.00269552956789	0.000912333084515	0.0	0.000622045284897	0.0	0.0070083768765	8.29393713196e-05	0.00609604379199	0.00286140831053	0.000995272455835	0.0	8.29393713196e-05	4.14696856598e-05
denovo80	0.00547399850709	0.0	0.000663514970557	0.00124409056979	4.14696856598e-05	0.00489342290785	0.00157584805507	0.00240524176827	0.00584722567803	0.000787924027536	0.000414696856598	0.00165878742639	0.000207348428299	0.00199054491167	8.29393713196e-05
denovo83	0.00190760554035	0.00265405988223	0.00348345359542	0.00315169611014	0.000456166542258	0.000248818113959	0.00933067927345	0.00447872605126	0.00447872605126	0.00211495396865	0.00111968151281	0.00140996931243	0.000331757485278	0.000165878742639	4.14696856598e-05
denovo82	0.0031931657958	0.0	0.00149290868375	0.0	0.00476901385088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00107821182715	0.0	0.000124409056979
denovo121	0.0	0.0	0.0	0.000663514970557	8.29393713196e-05	0.000248818113959	0.000414696856598	0.0	0.00120262088413	0.000414696856598	0.0	0.0	0.0	0.0	0.0
denovo120	0.00294434768184	0.000248818113959	0.00107821182715	0.00302728705316	0.000124409056979	4.14696856598e-05	0.00215642365431	0.00178319648337	0.00153437836941	0.000497636227917	0.000331757485278	0.000165878742639	0.0	0.0	0.0
denovo123	0.000331757485278	0.000787924027536	0.00194907522601	0.00161731774073	0.0	0.000124409056979	0.00252965082525	0.00315169611014	0.00107821182715	0.00116115119847	0.000373227170938	0.000497636227917	0.000580575599237	4.14696856598e-05	0.0
denovo122	0.0	0.0	0.0	0.000331757485278	0.000290287799618	0.0	0.00526665007879	0.0	0.000290287799618	0.0	0.0	0.0	4.14696856598e-05	0.0	0.0
denovo89	0.00132702994111	0.00348345359542	0.0078377705897	0.000373227170938	0.000207348428299	0.000414696856598	0.00165878742639	0.00414696856598	0.000912333084515	0.000497636227917	0.000539105913577	0.00601310442067	0.00356639296674	0.00273699925355	0.00140996931243
denovo88	0.0	0.0	0.00510077133615	0.0	4.14696856598e-05	0.0	0.00281993862487	0.0	0.00344198390976	0.000787924027536	0.0	0.0	4.14696856598e-05	0.0	0.0
denovo127	0.000953802770175	0.0	0.000787924027536	4.14696856598e-05	0.0	4.14696856598e-05	0.000290287799618	0.0	0.000124409056979	0.000165878742639	0.0	0.0	0.00145143899809	0.0	0.000124409056979
denovo126	0.0	8.29393713196e-05	0.000124409056979	0.000456166542258	0.0	0.000124409056979	0.00389815045202	8.29393713196e-05	0.00186613585469	0.000207348428299	0.000165878742639	0.0	4.14696856598e-05	0.0	0.0
denovo69	4.14696856598e-05	0.00286140831053	4.14696856598e-05	0.00174172679771	0.000373227170938	4.14696856598e-05	0.00286140831053	0.00182466616903	0.000704984656216	8.29393713196e-05	0.00107821182715	0.00223936302563	0.0	4.14696856598e-05	0.0
denovo68	0.0	0.000663514970557	0.00103674214149	0.00149290868375	0.00120262088413	0.000995272455835	0.00157584805507	0.000912333084515	0.00261259019657	0.000456166542258	0.000207348428299	0.000331757485278	4.14696856598e-05	4.14696856598e-05	4.14696856598e-05
